record_id,source,source_record_id,title_or_assay_name,compound_identity,stereochemistry_resolved,assay_system,endpoint,full_text_status,include_status,exclusion_reason,reviewer,decision_date,notes
PMID:42667397,PubMed,42667397,"Multi-target molecular mechanisms of Cymbopogon flexuosus essential oil reveal membrane destabilization, ROS-mediated cellular damage, efflux perturbation, biofilm suppression and resistance-target interference in Staphylococcus aureus.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.toxicon.2022.04.016
PMID:42661783,PubMed,42661783,"Cannabinoid efficacy for pain: dose, chronicity and route.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1177/03331024251314487
PMID:42653247,PubMed,42653247,Terpenes as Potential Multi-Target Modulators of Chronic Stress-Induced Neuroendocrine-Immune Dysregulation.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.cbi.2017.10.021
PMID:42652429,PubMed,42652429,Terpenes and Phenylpropanoids with Potent Toxicity on Two Tephritid Fruit Flies and Reduced Impact to a Non-Target Parasitoid.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1093/ee/nvad059
PMID:42606708,PubMed,42606708,"The genus Laggera: an extensive review of phytochemistry, pharmacology, clinical study, and chemical modification.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1002/cbdv.201900504
PMID:42599599,PubMed,42599599,Mechanistic Insights into Houttuynia cordata Thunb. as a Potential Therapeutic Strategy Targeting Metabolic Disorders in Preclinical Models.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.3389/fnut.2021.782912
PMID:42589492,PubMed,42589492,Mechanism of Terpene Formation in,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1515/cclm.2000.120
PMID:42575244,PubMed,42575244,Novel microplate sealing lid SLIM-V® for in vitro susceptibility testing of chemically characterized plant-derived volatile agents in vapour phase against pneumonia causing bacteria.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.mimet.2026.107668
PMID:42553200,PubMed,42553200,Enhancing Ground Beef Shelf Life Using,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1080/10498850.2015.1058308
PMID:42542262,PubMed,42542262,"Unlocking the therapeutic potential of Curcuma phaeocaulis Valeton: An integrative review of its ethnopharmacology, processing with vinegar, and pharmacological mechanisms.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.jep.2026.122246
PMID:42540392,PubMed,42540392,Cyclopropanation of unactivated alkenes with diazo compounds enables facile synthesis of challenging cyclopropanes and late-stage sesquiterpene modification.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1021/jacs.5c10649
PMID:42522921,PubMed,42522921,Exploring Heteropanax fragrans (Roxb.) Seem. Essential Oils: Chemical Composition and Insecticidal Activity Against Stored-Product Insects.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/S0022-474X(99)00015-6
PMID:42520307,PubMed,42520307,Behavioral preferences of Thrips hawaiiensis (Thysanoptera: Thripidae) for banana flower-bud color and volatile compounds.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1093/jee/toag218
PMID:42519565,PubMed,42519565,Putative binding of,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1111/j.1550-7408.2004.tb00384.x
PMID:42514607,PubMed,42514607,Chemical Components of Volatile Oils and Hydrosols Derived from Different Plant Organs of Three,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1002/ejlt.202100086
PMID:42504008,PubMed,42504008,Chemical profile and biological activities of the,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1080/15287394.2026.2707330
PMID:42499616,PubMed,42499616,"Effects of Pretreatment Technologies on the Physicochemical Properties, Fatty Acid Composition, Active Components, Antioxidant Capacity, and Volatile Flavor Compounds of Cold-Pressed",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.indcrop.2023.116295
PMID:42484501,PubMed,42484501,"Integrative Insights Into UV-B-Induced Growth Regulation, Physiological Responses, Antioxidants, and Essential Oil Remodeling in Ocimum americanum L.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.3390/biology10040267
PMID:42477240,PubMed,42477240,Beta-Caryophyllene Prevents Ouabain-Induced Neurodegeneration and Behavioral Alterations Through PKA/GSK-3β Pathway.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.tibs.2003.12.004
PMID:42471424,PubMed,42471424,"Preharvest temperature treatments influence physiological traits, secondary metabolites, and volatile compounds in holy basil under controlled environment conditions.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1038/s41598-026-63137-3
PMID:42463926,PubMed,42463926,Improving the yield and biological activity of sage essential oil using NADES: in vitro and in silico insights.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1021/acsomega.5c08806
PMID:42463923,PubMed,42463923,Bioactive potential of Ecuadorian Lippia dulcis essential oil: accelerated wound healing and chemical profiling.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1038/s41598-026-62554-8
PMID:42459069,PubMed,42459069,Pharmacological Characterization of Digera muricata Ethanolic Extract in a Rodent Model of Hepatotoxicity.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.2174/0127722708467841260627044310
PMID:42453351,PubMed,42453351,"Cannabinoid 2 Receptor Activation Mitigates High-Fat Diet/Streptozotocin-Induced Nonalcoholic Fatty Liver Disease in Diabetic Mice by Modulation of Oxidative Stress, Inflammation, and Fibrosis.",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1007/s12013-025-01696-4
PMID:42451615,PubMed,42451615,"GC-MS Profiling and In Vitro Assessment of Antimicrobial, Antioxidant, and Anti-Inflammatory Activities of Essential Oils from Wild-Growing",beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.3390/s7102080
PMID:42429905,PubMed,42429905,Restoring ciprofloxacin efficacy via β-caryophyllene synergy for concurrent infection control and tissue regeneration.,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1016/j.cbi.2018.10.010
PMID:42389334,PubMed,42389334,Nutritional composition and postharvest senescence control in,beta-caryophyllene,unknown,unknown,unknown,not_checked,unreviewed,,,,10.1007/s11103-018-0752-7
